County,AFOs,Animals,Pct_of_State,Avg_per_AFO,Industrial_Facilities
Worcester,79,12449320,22.08395746833848,157586.32911392406,51
Wicomico,89,10272900,18.223187023587982,115425.84269662922,40
Caroline,95,9963625,17.674561400178803,104880.26315789473,39
Somerset,66,8307000,14.735859845315868,125863.63636363637,37
Queen Anne's,37,5353875,9.497285618073972,144699.32432432432,22
Dorchester,33,4536200,8.046804794790157,137460.60606060605,22
Cecil,4,2315238,4.107020907252849,578809.5,2
Kent,15,2132220,3.782363678750379,142148.0,6
Talbot,6,486700,0.8633613803677902,81116.66666666667,1
Carroll,6,454105,0.8055408252145374,75684.16666666667,1
