annual_manure_tons,annual_biogas_m3,annual_kwh,annual_energy_revenue,annual_digestate_tons,annual_digestate_revenue,total_annual_revenue,revenue_per_animal_per_year,energy_price_per_kwh,digestate_price_per_ton
1352783.33415,75755866.7124,159087320.09603998,12726985.607683199,1285144.1674425,12851441.674424998,25578427.282108195,0.6211277999999999,0.08,10
1352783.33415,75755866.7124,159087320.09603998,12726985.607683199,1285144.1674425,19277162.511637498,32004148.119320698,0.7771653,0.08,15
1352783.33415,75755866.7124,159087320.09603998,12726985.607683199,1285144.1674425,25702883.348849997,38429868.95653319,0.9332027999999999,0.08,20
1352783.33415,75755866.7124,159087320.09603998,12726985.607683199,1285144.1674425,32128604.186062496,44855589.7937457,1.0892403,0.08,25
1352783.33415,75755866.7124,159087320.09603998,15908732.009604,1285144.1674425,12851441.674424998,28760173.684028998,0.698391,0.1,10
1352783.33415,75755866.7124,159087320.09603998,15908732.009604,1285144.1674425,19277162.511637498,35185894.5212415,0.8544285,0.1,15
1352783.33415,75755866.7124,159087320.09603998,15908732.009604,1285144.1674425,25702883.348849997,41611615.358454,1.0104659999999999,0.1,20
1352783.33415,75755866.7124,159087320.09603998,15908732.009604,1285144.1674425,32128604.186062496,48037336.19566649,1.1665035,0.1,25
1352783.33415,75755866.7124,159087320.09603998,19090478.4115248,1285144.1674425,12851441.674424998,31941920.085949797,0.7756542,0.12,10
1352783.33415,75755866.7124,159087320.09603998,19090478.4115248,1285144.1674425,19277162.511637498,38367640.9231623,0.9316916999999999,0.12,15
1352783.33415,75755866.7124,159087320.09603998,19090478.4115248,1285144.1674425,25702883.348849997,44793361.7603748,1.0877292,0.12,20
1352783.33415,75755866.7124,159087320.09603998,19090478.4115248,1285144.1674425,32128604.186062496,51219082.597587295,1.2437667,0.12,25
1352783.33415,75755866.7124,159087320.09603998,23863098.014405996,1285144.1674425,12851441.674424998,36714539.688830994,0.8915489999999998,0.15,10
1352783.33415,75755866.7124,159087320.09603998,23863098.014405996,1285144.1674425,19277162.511637498,43140260.52604349,1.0475864999999998,0.15,15
1352783.33415,75755866.7124,159087320.09603998,23863098.014405996,1285144.1674425,25702883.348849997,49565981.36325599,1.2036239999999998,0.15,20
1352783.33415,75755866.7124,159087320.09603998,23863098.014405996,1285144.1674425,32128604.186062496,55991702.200468495,1.3596614999999999,0.15,25
1352783.33415,75755866.7124,159087320.09603998,28635717.617287196,1285144.1674425,12851441.674424998,41487159.291712195,1.0074438,0.18,10
1352783.33415,75755866.7124,159087320.09603998,28635717.617287196,1285144.1674425,19277162.511637498,47912880.1289247,1.1634813,0.18,15
1352783.33415,75755866.7124,159087320.09603998,28635717.617287196,1285144.1674425,25702883.348849997,54338600.96613719,1.3195187999999998,0.18,20
1352783.33415,75755866.7124,159087320.09603998,28635717.617287196,1285144.1674425,32128604.186062496,60764321.80334969,1.4755562999999998,0.18,25
